Date,Qty
2015-12-13,81
2015-12-20,346
2015-12-27,346
2016-01-03,130
2016-01-10,130
2016-01-17,106
2016-01-24,14
2016-01-31,14
2016-02-07,14
2016-02-14,98
2016-02-21,48
2016-02-28,168
2016-03-06,168
2016-03-13,168
2016-03-20,168
2016-03-27,100
2016-04-03,100
2016-04-10,100
2016-04-17,100
2016-04-24,100
2016-05-01,100
2016-05-08,107
2016-05-15,107
2016-05-22,156
2016-05-29,156
2016-06-05,47
2016-06-12,47
2016-06-19,47
2016-06-26,560
2016-07-03,-244
2016-07-10,111
2016-07-17,329
2016-07-24,329
2016-07-31,117
2016-08-07,117
2016-08-14,117
2016-08-21,191
2016-08-28,191
2016-09-04,191
2016-09-11,127
2016-09-18,127
2016-09-25,101
2016-10-02,101
2016-10-09,101
2016-10-16,101
2016-10-23,101
2016-10-30,-1059
2016-11-06,-1059
2016-11-13,-1059
2016-11-20,130
2016-11-27,130
2016-12-04,-537
2016-12-11,577
2016-12-18,577
2016-12-25,577
2017-01-01,-1
2017-01-08,-1
2017-01-15,-1
2017-01-22,108
2017-01-29,108
2017-02-05,131
2017-02-12,131
2017-02-19,186
2017-02-26,186
2017-03-05,102
2017-03-12,2
2017-03-19,2
2017-03-26,102
2017-04-02,-1173
2017-04-09,37
2017-04-16,15
2017-04-23,74
2017-04-30,-10
2017-05-07,-10
2017-05-14,267
2017-05-21,267
2017-05-28,267
2017-06-04,267
2017-06-11,897
2017-06-18,109
2017-06-25,109
2017-07-02,109
2017-07-09,109
2017-07-16,109
2017-07-23,260
2017-07-30,260
2017-08-06,260
2017-08-13,124
2017-08-20,11
2017-08-27,34
2017-09-03,160
2017-09-10,68
2017-09-17,68
2017-09-24,13
2017-10-01,46
2017-10-08,46
2017-10-15,85
2017-10-22,85
2017-10-29,33
2017-11-05,33
2017-11-12,148
2017-11-19,148
2017-11-26,197
2017-12-03,44
2017-12-10,44
2017-12-17,255
2017-12-24,198
2017-12-31,211
