Date,Sales_Qty
2016-01-03,60
2016-01-10,72
2016-01-17,125
2016-01-24,65
2016-01-31,100
2016-02-07,70
2016-02-14,47
2016-02-21,57
2016-02-28,43
2016-03-06,39
2016-03-13,37
2016-03-20,32
2016-03-27,56
2016-04-03,43
2016-04-10,81
2016-04-17,80
2016-04-24,29
2016-05-01,34
2016-05-08,47
2016-05-15,36
2016-05-22,53
2016-05-29,58
2016-06-05,41
2016-06-12,46
2016-06-19,39
2016-06-26,39
2016-07-03,137
2016-07-10,150
2016-07-17,103
2016-07-24,91
2016-07-31,54
2016-08-07,75
2016-08-14,67
2016-08-21,61
2016-08-28,31
2016-09-04,19
2016-09-11,23
2016-09-18,36
2016-09-25,30
2016-10-02,61
2016-10-09,43
2016-10-16,55
2016-10-23,43
2016-10-30,28
2016-11-06,33
2016-11-13,39
2016-11-20,41
2016-11-27,39
2016-12-04,32
2016-12-11,39
2016-12-18,43
2016-12-25,56
2017-01-01,72
2017-01-08,79
2017-01-15,75
2017-01-22,73
2017-01-29,154
2017-02-05,65
2017-02-12,70
2017-02-19,24
2017-02-26,34
2017-03-05,52
2017-03-12,31
2017-03-19,40
2017-03-26,33
2017-04-02,47
2017-04-09,59
2017-04-16,82
2017-04-23,71
2017-04-30,35
2017-05-07,50
2017-05-14,39
2017-05-21,69
2017-05-28,38
2017-06-04,41
2017-06-11,40
2017-06-18,41
2017-06-25,119
2017-07-02,118
2017-07-09,64
2017-07-16,85
2017-07-23,47
2017-07-30,63
2017-08-06,37
2017-08-13,62
2017-08-20,33
2017-08-27,31
2017-09-03,35
2017-09-10,36
2017-09-17,26
2017-09-24,37
2017-10-01,30
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,238
2017-11-12,46
2017-11-19,52
2017-11-26,38
2017-12-03,27
2017-12-10,49
2017-12-17,62
2017-12-24,112
2017-12-31,93
